"notation","title","description","id","title_en","description_en"
"1","Inhaltsbereich: Stoffe, Strukturen, Eigenschaften","","q3u",,
"1.1","Verbindungen mit funktionellen Gruppen","","q4r",,
"1.1.1","Inhalte für das grundlegende und erhöhte Anforderungsniveau","","b6f",,
"1.1.1.1","Mehrfachbindungen","","g9t",,
"1.1.1.2","Hydroxy-, Carbonyl-, Carboxy-, Estergruppe","","b5a",,
"1.1.1.3","Aminogruppe","","y3r",,
"1.1.2","Zusätzliche Inhalte für das erhöhte Anforderungsniveau","","p6q",,
"1.1.2.1","aromatisches System","","t9r",,
"1.2","Chemische Bindung","","y7f",,
"1.2.1","Inhalte für das grundlegende und erhöhte Anforderungsniveau","","p2f",,
"1.2.1.1","Elektronenpaarbindung","","d7z",,
"1.2.1.2","Ionenbindung","","c4h",,
"1.2.1.3","Metallbindung","","s5f",,
"1.2.2","Zusätzliche Inhalte für das erhöhte Anforderungsniveau","","f7e",,
"1.2.2.1","koordinative Bindung","","g3y",,
"1.3","Strukturen ausgewählter organischer und anorganischer Stoffe","","c5a",,
"1.3.1","Inhalte für das grundlegende und erhöhte Anforderungsniveau","","z4g",,
"1.3.1.1","inter- und intramolekulare Wechselwirkungen(einschließlich Ionen-Dipol-Wechselwirkungen)","","b7r",,
"1.3.1.2","Ionengitter","","t7e",,
"1.3.1.3","Metallgitter","","u6s",,
"1.3.1.4","Molekülgeometrie (EPA-Modell)","","r9q",,
"1.3.2","Zusätzliche Inhalte für das erhöhte Anforderungsniveau","","z4h",,
"1.3.2.1","Chiralität","","s9c",,
"1.3.2.2","Nanostrukturen","","g7z",,
"1.4","Natürliche und synthetische Stoffe","","d5e",,
"1.4.1","Anhalte für das grundlegende und erhöhte Anforderungsniveau","","r9u",,
"1.4.1.1","Kunststoffe","","v3r",,
"1.4.1.2","Fette oder Proteine oder Kohlenhydrate","","x6h",,
"1.4.2","Zusätzliche Inhalte für das erhöhte Anforderungsniveau","","f4s",,
"1.4.2.1","ein zusätzlicher Inhalt: Fette, Proteine, Kohlenhydrate oder Farbstoffe","","h3y",,
"2","Inhaltsbereich: Chemische Reaktionen","","d6y",,
"2.1","Protonenübergänge","","s2v",,
"2.1.1","Inhalte für das grundlegende und erhöhte Anforderungsniveau","","q5t",,
"2.1.1.1","Säure-Base-Konzept nach Brönsted","","a2v",,
"2.1.1.2","Säure-Base-Konstanten","","z4f",,
"2.1.1.3","pH-Wert-Berechnungen wässriger Lösungen von Säuren und Basen (bei vollständiger Protolyse)","","d3p",,
"2.1.2","Zusätzliche Inhalte für das erhöhte Anforderungsniveau","","u4b",,
"2.1.2.1","pH-Wert-Berechnungen wässriger Lösungen von Säuren und Basen (bei nicht vollständiger Protolyse)","","q5f",,
"2.1.2.2","Puffersysteme","","q7g",,
"2.2","Elektronenübergänge","","a4y",,
"2.2.1","Inhalte für das grundlegende und erhöhte Anforderungsniveau","","r3s",,
"2.2.1.1","Redoxreaktionen als Elektronenübergang","","q2q",,
"2.2.1.2","elektrochemische Spannungsreihe","","q3a",,
"2.2.1.3","Berechnung der Zellspannung","","p2h",,
"2.2.1.4","elektrochemische Spannungsquellen","","e9f",,
"2.2.1.5","Elektrolyse","","v6r",,
"2.2.1.6","Korrosion","","r7a",,
"2.2.2","Zusätzliche Inhalte für das erhöhte Anforderungsniveau","","h7h",,
"2.2.2.1","Nernst-Gleichung","","r5v",,
"2.2.2.2","Faraday-Gesetze","","s6v",,
"2.2.2.3","Überspannung","","q9y",,
"2.3","Reaktionsmechanismen in der organischen Chemie","","x2s",,
"2.3.1","Inhalte für das grundlegende und erhöhte Anforderungsniveau","","v7v",,
"2.3.1.1","radikalische Substitution","","g6s",,
"2.3.1.2","elektrophile Addition","","p2x",,
"2.3.2","Zusätzliche Inhalte für das erhöhte Anforderungsniveau","","z3r",,
"2.3.2.1","nucleophile und elektrophile Substitution","","z5d",,
"2.4","Energetische und kinetische Aspekte chemischer Reaktionen","","v3x",,
"2.4.1","Inhalte für das grundlegende und erhöhte Anforderungsniveau","","h3h",,
"2.4.1.1","Reaktionsgeschwindigkeit","","g5g",,
"2.4.1.2","Katalyse","","f2x",,
"2.4.1.3","1. Hauptsatz der Thermodynamik","","g2v",,
"2.4.1.4","Enthalpie","","f5s",,
"2.4.1.5","Satz von Hess","","d4g",,
"2.4.2","Zusätzliche Inhalte für das erhöhte Anforderungsniveau","","b9c",,
"2.4.2.1","2. Hauptsatz der Thermodynamik","","b7e",,
"2.4.2.2","Entropie","","f3c",,
"2.4.2.3","freie Enthalpie","","d7t",,
"2.4.2.4","Gibbs-Helmholtz-Gleichung","","a7q",,
"2.5","Gleichgewichtsreaktionen","","t9f",,
"2.5.1","nhalte für das grundlegende und erhöhte Anforderungsniveau","","a4d",,
"2.5.1.1","chemisches Gleichgewicht","","u4y",,
"2.5.1.2","Prinzip von Le Chatelier","","a7a",,
"2.5.1.3","Massenwirkungsgesetz (Kc)","","z2z",,
"2.5.2","Zusätzliche Inhalte für das erhöhte Anforderungsniveau","","x5p",,
"2.5.2.1","Löslichkeitsgleichgewichte","","c5r",,
"3","Inhaltsbereich: Arbeitsweisen","","a2f",,
"3.1","Qualitative Analyse","","g5y",,
"3.1.1","Inhalte für das grundlegende und erhöhte Anforderungsniveau","","y2c",,
"3.1.1.1","Nachweis von Ionen und funktionellen Gruppen ","","b6h",,
"3.1.2","Zusätzliche Inhalte für das erhöhte Anforderungsniveau","","e4q",,
"3.1.2.1","Chromatografie","","c2g",,
"3.2","Quantitative und instrumentelle Analyse","","v2f",,
"3.2.1","Inhalte für das grundlegende und erhöhte Anforderungsniveau","","e6r",,
"3.2.1.1","Säure-Base-Titration (mit Umschlagspunkt)","","s9f",,
"3.2.2","Zusätzliche Inhalte für das erhöhte Anforderungsniveau","","y4t",,
"3.2.2.1","Säure-Base-Titration (mit Titrationskurve)","","v2d",,
"3.2.2.2","Redoxtitration","","x6y",,
"3.2.2.3","ein Verfahren der instrumentellen Analyse (z. B. Konduktometrie, potentiometrische pH-Messung, Fotometrie, Polarimetrie)","","r6r",,
"3.3","Synthesen","","f6b",,
"3.3.1","Inhalte für das grundlegende und erhöhte Anforderungsniveau","","z4z",,
"3.3.1.1","Estersynthese","","s6s",,
"3.3.1.2","Kunststoffsynthese","","a6a",,
"3.3.2","Zusätzliche Inhalte für das erhöhte Anforderungsniveau","","z3z",,
"3.3.2.1","Mechanistische Betrachtung der Estersynthese","","c6f",,
"3.3.2.2","Mechanistische Betrachtung einer Kunststoffsynthese","","y2d",,
"4","Inhaltsbereich: Lebenswelt und Gesellschaf","","q7f",,
"4.1","Aktuelle Technologien und chemische Produkte","","s5q",,
"4.1.1","Inhalte für das grundlegende und erhöhte Anforderungsniveau","","b9t",,
"4.1.1.1","moderne Werkstoffe","","z2s",,
"4.1.1.2","Rohstoffgewinnung und -verarbeitung","","g7t",,
"4.1.1.3","Recycling","","v7c",,
"4.1.2","Zusätzliche Inhalte für das erhöhte Anforderungsniveau","","s2t",,
"4.1.2.1","Nanomaterialien","","f4q",,
"4.1.2.2","ein technisches Syntheseverfahren","","y4a",,
"4.2","Ökonomische und ökologische Aspekte der Chemie","","h3x",,
"4.2.1","Inhalte für das grundlegende und erhöhte Anforderungsniveau","","q6a",,
"4.2.1.1","alternative Energieträger","","p6g",,
"4.2.1.2","Recycling","","g3b",,
"4.2.2","Zusätzliche Inhalte für das erhöhte Anforderungsniveau","","z5b",,
"4.2.2.1","Energiespeicherung","","x7c",,
"4.2.2.2","Wertstoffkreisläufe","","t4t",,
