"notation","title","description","id","title_en","description_en"
"S ","Sachkompetenz","""""Die Sachkompetenz der Lernenden zeigt sich in der Kenntnis naturwissenschaftlicher Konzepte, Theorien und Verfahren und der Fähigkeit, diese zu beschreiben und zu erklären sowie geeignet auszuwählen und zu nutzen, um Sachverhalte aus fach- und alltagsbezogenen Anwendungsbereichen zu verarbeiten.\n\nIm Bereich der Sachkompetenz ist es wichtig, nicht nur das erworbene Wissen nachzuweisen, sondern es sowohl im Fach Chemie als auch fachübergreifend in unterschiedlichen Zusammenhängen und auf verschiedene Problemstellungen anwenden zu können. Im Mittelpunkt steht hierbei die modellhafte Deutung beobachtbarer Phänomene auf Teilchenebene.\n\nDabei werden vier sich überlappende Teilkompetenzbereiche unterschieden. Konzepte und Theorien werden zum Strukturieren von Inhalten und Problemstellungen genutzt, um dadurch die fachliche Perspektive auf Phänomene deutlich zu machen sowie diese aus chemischer Sicht zu interpretieren und zu verstehen. Dazu sind eigenständige fachliche Konstruktionsprozesse und eine Vernetzung von Theorien und Konzepten notwendig. Das Charakteristische der chemischen Betrachtungsweise sind qualitativ-modellhafte und quantitativ-mathematische Beschreibungen der Phänomene.""""","e6d",,
"S 1","Chemische Konzepte und Theorien zum Klassifizieren, Strukturieren, Systematisieren und Interpretieren nutzen","Die Lernenden …","q4a",,
"S 1.1","S1: beschreiben und begründen Ordnungsprinzipien für Stoffe und wenden diese an;","","u3z",,
"S 1.2","S2: leiten Voraussagen über die Eigenschaften der Stoffe auf Basis chemischer Strukturen und Gesetzmäßigkeiten begründet ab;","","u7u",,
"S 1.3","S3: interpretieren Phänomene der Stoff- und Energieumwandlung bei chemischen Reaktionen;","","s5z",,
"S 1.4","S4: bestimmen Reaktionstypen;","","y6a",,
"S 1.5","S5: beschreiben Stoffkreisläufe in Natur oder Technik als Systeme chemischer Reaktionen.","","s5q",,
"S 2","Chemische Konzepte und Theorien auswählen und vernetzen","Die Lernenden …","g2f",,
"S 2.1","S6: unterscheiden konsequent zwischen Stoff- und Teilchenebene;","","f9e",,
"S 2.2","S7: beschreiben die Umkehrbarkeit chemischer Reaktionen, das dynamische Gleichgewicht und das Donator-Akzeptor-Prinzip und wenden diese an;","","d2d",,
"S 2.3","S8: beschreiben Einflussfaktoren auf chemische Reaktionen und Möglichkeiten der Steuerung durch Variation von Reaktionsbedingungen sowie durch den Einsatz von Katalysatoren;","","p9s",,
"S 2.4","S9: erklären unterschiedliche Reaktivitäten und Reaktionsverläufe;","","s2x",,
"S 2.5","S10: nutzen chemische Konzepte und Theorien zur Vernetzung von Sachverhalten innerhalb der Chemie sowie mit anderen Unterrichtsfächern.","","e6g",,
"S 3","Chemische Zusammenhänge qualitativ-modellhaft erklären","Die Lernenden …","e3g",,
"S 3.1","S11: erklären die Vielfalt der Stoffe und ihrer Eigenschaften auf der Basis unterschiedlicher Kombinationen und Anordnungen von Teilchen;","","a2x",,
"S 3.2","S12: deuten Stoff- und Energieumwandlungen hinsichtlich der Veränderung von Teilchen sowie des Umbaus chemischer Bindungen;","","z7v",,
"S 3.3","S13: nutzen Modelle zur chemischen Bindung und zu intra- und intermolekularen Wechselwirkungen;","","h5h",,
"S 3.4","S14: beschreiben ausgewählte Reaktionsmechanismen;","","a9h",,
"S 3.5","S15: grenzen mithilfe von Modellen den statischen Zustand auf Stoffebene vom dynamischen Zustand auf Teilchenebene ab.","","u5v",,
"S 4","Chemische Zusammenhänge quantitativ-mathematisch beschreiben","Die Lernenden …","p4u",,
"S 4.1","S16: entwickeln Reaktionsgleichungen;","","f3u",,
"S 4.2","S17: wenden bekannte mathematische Verfahren auf chemische Sachverhalte an","","s9q",,
"E ","Erkenntnisgewinnungskompetenz","""""Die Erkenntnisgewinnungskompetenz der Lernenden zeigt sich in der Kenntnis von naturwissenschaftlichen Denk- und Arbeitsweisen und in der Fähigkeit, diese zu beschreiben, zu erklären und zu verknüpfen, um Erkenntnisprozesse nachvollziehen oder gestalten zu können und deren Möglichkeiten und Grenzen zu reflektieren.\n\nIm Bereich der Erkenntnisgewinnungskompetenz ist es wichtig, nicht nur das Experimentieren als chemische Untersuchungsmethode zu kennen und Experimente zur Datengewinnung nutzen zu können, sondern auch Modelle sachgerecht zur Beschreibung eines Phänomens oder zur Gewinnung von Erkenntnissen einsetzen zu können. Dabei werden vier sich überlappende Teilkompetenzbereiche unterschieden. Experimente und Modelle werden eingesetzt, um durch theoriegeleitete Beobachtungen entwickelte weiterführende Fragestellungen und Hypothesen zu überprüfen und um Sachverhalte zu untersuchen. Die experimentellen Ergebnisse und die aus Modellen abgeleiteten Annahmen werden vor dem Hintergrund der theoretischen Erkenntnisse interpretiert und der gesamte Erkenntnisgewinnungsprozess reflektiert. Auf einer Metaebene werden die Merkmale naturwissenschaftlicher Aussagen und Methoden charakterisiert und von nicht-naturwissenschaftlichen abgegrenzt.\n\nDas wissenschaftliche Vorgehen umfasst ausgehend von einem Phänomen die Verknüpfung der zentralen Schritte des Erkenntnisprozesses:\n\n - Formulierung von Fragestellungen,\n\n - Ableitung von Hypothesen,\n\n - Planung und Durchführung von Untersuchungen,\n\n - Auswertung, Interpretation und methodische Reflexion zur Widerlegung bzw. Stützung der Hypothese sowie zur Beantwortung der Fragestellung.""""","h2q",,
"E 1","Fragestellungen und Hypothesen auf Basis von Beobachtungen und Theorien bilden","Die Lernenden …","t5g",,
"E 1.1","E1: leiten chemische Sachverhalte aus Alltagssituationen ab;","","z6s",,
"E 1.2","E2: identifizieren und entwickeln Fragestellungen zu chemischen Sachverhalten;","","c2s",,
"E 1.3","E3: stellen theoriegeleitet Hypothesen zur Bearbeitung von Fragestellungen auf;","","t2f",,
"E 2","Fachspezifische Modelle und Verfahren charakterisieren, auswählen und zur Untersuchung von Sachverhalten nutzen","Die Lernenden …","u9g",,
"E 2.1","E4: planen, ggf. unter Berücksichtigung der Variablenkontrolle, experiment- oder modellbasierte Vorgehensweisen, auch zur Prüfung von Hypothesen, Aussagen oder Theorien;","","p5x",,
"E 2.2","E5: führen qualitative und quantitative experimentelle Untersuchungen – den chemischen Arbeitsweisen und Sicherheitsregeln entsprechend – durch, protokollieren sie und werten diese aus;","","e2e",,
"E 2.3","E6: nutzen digitale Werkzeuge und Medien zum Aufnehmen, Darstellen und Auswerten von Messwerten, für Berechnungen, Modellierungen und Simulationen;","","t6p",,
"E 2.4","E7: wählen geeignete Real- oder Denkmodelle (z. B. Atommodelle, Periodensystem der Elemente) aus und nutzen sie, um chemische Fragestellungen zu bearbeiten.","","p6y",,
"E 3","Erkenntnisprozesse und Ergebnisse interpretieren und reflektieren","Die Lernenden …","p9d",,
"E 3.1","E8: finden in erhobenen oder recherchierten Daten Strukturen, Beziehungen und Trends, erklären diese theoriebezogen und ziehen Schlussfolgerungen;","","r9x",,
"E 3.2","E9: diskutieren Möglichkeiten und Grenzen von Modellen;","","c3c",,
"E 3.3","E10: reflektieren die eigenen Ergebnisse und den eigenen Prozess der Erkenntnisgewinnung;","","x3a",,
"E 3.4","E11: stellen bei der Interpretation von Untersuchungsbefunden fachübergreifende Bezüge her.","","z7r",,
"E 4","Merkmale wissenschaftlicher Aussagen und Methoden charakterisieren und reflektieren","Die Lernenden …","s2y",,
"E 4.1","E12: reflektieren Möglichkeiten und Grenzen des konkreten Erkenntnisgewinnungsprozesses sowie der gewonnenen Erkenntnisse (z. B. Reproduzierbarkeit, Falsifizierbarkeit, Intersubjektivität, logische Konsistenz, Vorläufigkeit).","","e7d",,
"K ","Kommunikationskompetenz","""""Die Kommunikationskompetenz der Lernenden zeigt sich in der Kenntnis von Fachsprache, fachtypischen Darstellungen und Argumentationsstrukturen und in der Fähigkeit, diese zu nutzen, um fachbezogene Informationen zu erschließen, adressaten- und situationsgerecht darzustellen und auszutauschen.\n\nChemisch kompetent Kommunizieren bedingt ein Durchdringen der Teilkompetenzbereiche Erschließen, Aufbereiten und Austauschen. Im Bereich der Kommunikationskompetenz ist es wichtig, sich nicht darauf zu beschränken, fachlich richtige Sätze zu Aufgabenstellungen zu formulieren, sondern auch fachlich und fachsprachlich richtig mit chemiebezogenen analogen und digitalen Informationsmaterialien umzugehen und unterschiedliche Repräsentationsformen adressatengerecht einzusetzen. Dabei werden drei sich überlappende Teilkompetenzbereiche unterschieden. Fachsprache und andere fachspezifische Repräsentationsformen wie chemische Formeln und Reaktionsgleichungen werden erlernt, um Inhalte aus unterschiedlichen Medien zu erschließen, sie fachgerecht und aufgabenbezogen aufzubereiten und um situationsangemessen agieren zu können. Hierzu zählt der Informationsaustausch im sozialen Umfeld genauso wie die Partizipation in einer wissenschaftlichen Diskussion auf einem angemessenen Niveau. Dazu müssen Aussagen – auch im historischen Kontext – differenziert wahrgenommen, Missverständnisse und Standpunkte geklärt und Lösungen angestrebt werden.""""","f6y",,
"K 1","Informationen erschließen","Die Lernenden …","q2y",,
"K 1.1","K1: recherchieren zu chemischen Sachverhalten zielgerichtet in analogen und digitalen Medien und wählen für ihre Zwecke passende Quellen aus;","","z7p",,
"K 1.2","K2: wählen relevante und aussagekräftige Informationen und Daten zu chemischen Sachverhalten und anwendungsbezogenen Fragestellungen aus und erschließen Informationen aus Quellen mit verschiedenen, auch komplexen Darstellungsformen;","","r5t",,
