"notation","title","description","id"
"1","Schriftliche Prüfungsaufgabe","""""Jeder Prüfungsaufgabe wird ein Erwartungshorizont beigegeben, der die erwarteten Leistungen einschließlich der Angabe von Bewertungskriterien, die auf die Anforderungsbereiche bezogen sind, beschreibt. Der Erwartungshorizont weist die Anzahl der pro Teilaufgabe erreichbaren Bewertungseinheiten aus, die auch in der Prüfungsaufgabe angegeben werden.\n\nDie Bewertung erfolgt über die Randkorrekturen sowie einen Bewertungsbogen oder ein abschließendes Gutachten. Dabei muss die Bewertung der Prüfungsleistung auf den Erwartungshorizont bezogen sein.\n\nSchwerwiegende und gehäufte Verstöße gegen die sprachliche Richtigkeit oder gegen die äußere Form führen zu einem Abzug von bis zu zwei Punkten6 in einfacher Wertung. Ein Abzug für Verstöße gegen die sprachliche Richtigkeit soll nicht erfolgen, wenn diese bereits Gegenstand der fachspezifischen Bewertungsvorgaben sind""""",
"1.1","Struktur der Prüfungsaufgabe","""""Die Prüfungsaufgabe für die schriftliche Prüfung hat drei Aufgaben, die jeweils die gleiche Anzahl von Bewertungseinheiten aufweisen müssen.\n\nJede Aufgabe kann in Teilaufgaben gegliedert sein, die nicht beziehungslos nebeneinanderstehen, jedoch so unabhängig voneinander sein sollen, dass eine Fehlleistung in einer Teilaufgabe nicht die weitere Bearbeitung der Aufgabe ausschließt. Falls erforderlich, können Zwischenergebnisse in der Aufgabenstellung enthalten sein. Die Aufgliederung in Teilaufgaben soll nicht so detailliert sein, dass dadurch ein Lösungsweg zwingend vorgezeichnet wird""""",
"1.2","Erstellung der Prüfungsaufgabe","""""Die Prüfungsaufgabe bezieht sich auf mindestens zwei der in Kap. 2.6 genannten Inhaltsbereiche „Stoffe, Strukturen, Eigenschaften“, „Chemische Reaktionen“, „Arbeitsweisen“ sowie „Lebenswelt und Gesellschaft.\n\nIn der schriftlichen Prüfung im Fach Chemie werden folgende Aufgabenarten verwendet“"""",
"1.2.1","Materialgebundene Aufgabe","Bei der materialgebundenen Aufgabe geht es um die Erläuterung, Auswertung, Kommentierung, Interpretation und Bewertung fachspezifischer Materialien (z. B. Texte, Abbildungen‚ Tabellen, Messreihen, Filme, Versuchsergebnisse, Graphen, Simulationen).",
"1.2.2","Fachpraktische Aufgabe","""""Die fachpraktische Aufgabe schließt zusätzlich zur materialgebundenen Aufgabe die Gewinnung von Beobachtungen und Daten sowie ggf. die Planung der Datengewinnung ein.\n\nBei fachpraktischen Aufgabenstellungen ist für den Fall des Misslingens vorab eine Datensicherung vorzunehmen, die dem Prüfling ggf. vorgelegt wird, damit er die Aufgabe bearbeiten kann.""""",
"1.3","Bewertung der Prüfungsleistung","""""Aus Korrektur und Bewertung der schriftlichen Arbeit soll hervorgehen, wie die Ausführungen in Bezug auf die beschriebene erwartete Leistung einzuordnen sind. Lösungen, die im Erwartungshorizont nicht erfasst sind, aber im Sinne der Aufgabenstellung gleichwertige Lösungen bzw. Lösungswege darstellen, sind gleichberechtigt zu werten.\n\nFür die Bewertung der Prüfungsleistungen sind sowohl die rein formale Lösung als auch das zum Ausdruck gebrachte naturwissenschaftliche Verständnis maßgebend. Daher sind erläuternde, kommentierende und begründende Texte unverzichtbare Bestandteile der Prüfungsleistung. Dies gilt auch für die Dokumentation im Falle des Einsatzes digitaler Werkzeuge. Mangelhafte Gliederung, Fehler in der Fachsprache, Ungenauigkeiten in Zeichnungen oder unzureichende oder falsche Bezüge zwischen Zeichnungen und Text sind als fachliche Fehler zu werten.\n\nFür die Bewertung kommt den folgenden Kriterien besonderes Gewicht zu:""""",
"1.3.1","Umfang und Qualität der nachgewiesenen fachspezifischen Kompetenzen,",,
"1.3.2","Verständnis für fachspezifische Probleme sowie die Fähigkeit, Zusammenhänge zu erkennen, darzustellen und Sachverhalte zu beurteilen,",,
"1.3.3","Eigenständigkeit der Auseinandersetzung mit Sachverhalten und Problemstellungen, Reflexionsfähigkeit und Kreativität der Lösungsansätze,",,
"1.3.4","Sicherheit im Umgang mit Fachsprache und mit Fachmethoden,",,
"1.3.5","Schlüssigkeit der Argumentation, Verständlichkeit und Qualität der Darstellung (Gedankenführung, Klarheit in Aufbau und Sprache, fachsprachlicher Ausdruck).",,
"2","Mündliche Prüfungsaufgabe","""""Bei der mündlichen Prüfung sollen die Prüflinge im ersten Teil, der nicht mehr als die Hälfte der gesamten Prüfungszeit umfasst, nach entsprechender Vorbereitungszeit Gelegenheit erhalten, die Lösung einer Aufgabe in einem zusammenhängenden Vortrag zu präsentieren. In einem zweiten Teil sollen größere fachliche und ggf. fachübergreifende Zusammenhänge in einem Prüfungsgespräch erörtert werden. Ein Erwartungshorizont ist schriftlich vorzuhalten. Der Verlauf der mündlichen Prüfung wird protokolliert.""""",
"2.1","adäquate Präsentation der Ergebnisse für die gestellte Aufgabe in einem strukturierten, prägnanten, anhand von Aufzeichnungen frei gehaltenen Kurzvortrag,",,
"2.2","Erfassen von Fachfragen und Führung eines themengebundenen Gesprächs,",,
"2.3","Grad der Flexibilität und Beweglichkeit im Umgang mit unterschiedlichen Inhaltsbereichen und Basiskonzepten,",,
"2.4","Nachweis eigenständiger sach- und problemgerechter Bewertungskompetenz,",,
"2.5","Einordnung in größere fachliche und ggf. überfachliche Zusammenhänge,",,
"2.6","Verwendung einer präzisen, differenzierten, stilistisch angemessenen, adressaten- und normengerechten Ausdrucksweise unter adäquater Berücksichtigung der Fachsprache,",,
"2.7","Klarheit und Verständlichkeit der Darstellung.",,
